created_at,full_text,cleaned_text,tokenized_text,stemmed_text,sentiment
Tue Sep 30 23:29:37 +0000 2025,@luckylucky0971 @PaltiHutabarat Indonesia Emas pak Presiden @prabowo Bangun industri otomotif yg kuat bangun industri telekomunikasi bangun industri pesawat tempur bangun industri alat berat bangun kilang kilang minyak yg hebat Tidak usah geleng geleng kepala bingung liat koruptor @BANGSAygSUJUD,indonesia emas pak presiden bangun industri otomotif yg kuat bangun industri telekomunikasi bangun industri pesawat tempur bangun industri alat berat bangun kilang kilang minyak yg hebat tidak usah geleng geleng kepala bingung liat koruptor,"['indonesia', 'emas', 'pak', 'presiden', 'bangun', 'industri', 'otomotif', 'kuat', 'bangun', 'industri', 'telekomunikasi', 'bangun', 'industri', 'pesawat', 'tempur', 'bangun', 'industri', 'alat', 'berat', 'bangun', 'kilang', 'kilang', 'minyak', 'hebat', 'usah', 'geleng', 'geleng', 'kepala', 'bingung', 'liat', 'koruptor']","['indonesia', 'emas', 'pak', 'presiden', 'bangun', 'industri', 'otomotif', 'kuat', 'bangun', 'industri', 'telekomunikasi', 'bangun', 'industri', 'pesawat', 'tempur', 'bangun', 'industri', 'alat', 'berat', 'bangun', 'kilang', 'kilang', 'minyak', 'hebat', 'usah', 'geleng', 'geleng', 'kepala', 'bingung', 'liat', 'koruptor']",negative
Tue Sep 30 23:27:00 +0000 2025,@MMicen @BosPurwa Dengarkan baik2 kata2 yang dia ucapkan.. Udah jelas fokus dia pertamina yang males2an buat kilang minyak baru.. Cuma fokus 1 kalimat aja tapi konteks yang dibahas kaga tau..,dengarkan baik kata yang dia ucapkan udah jelas fokus dia pertamina yang malesan buat kilang minyak baru cuma fokus kalimat aja tapi konteks yang dibahas kaga tau,"['dengarkan', 'baik', 'kata', 'ucapkan', 'udah', 'jelas', 'fokus', 'pertamina', 'malesan', 'buat', 'kilang', 'minyak', 'baru', 'cuma', 'fokus', 'kalimat', 'konteks', 'dibahas', 'kagak', 'tau']","['dengar', 'baik', 'kata', 'ucap', 'udah', 'jelas', 'fokus', 'pertamina', 'malesan', 'buat', 'kilang', 'minyak', 'baru', 'cuma', 'fokus', 'kalimat', 'konteks', 'bahas', 'kagak', 'tau']",negative
Tue Sep 30 23:19:18 +0000 2025,@dhaintly Kalau bikin kilang otomatis gk ada proyek import minyak buat Elite PERTAMINA dong Boss @prabowo @PurbayaYudhi,kalau bikin kilang otomatis gk ada proyek import minyak buat elite pertamina dong boss,"['kalau', 'bikin', 'kilang', 'otomatis', 'proyek', 'import', 'minyak', 'buat', 'elite', 'pertamina', 'dong', 'boss']","['kalau', 'bikin', 'kilang', 'otomatis', 'proyek', 'import', 'minyak', 'buat', 'elite', 'pertamina', 'dong', 'boss']",positive
Tue Sep 30 23:06:06 +0000 2025,Impor BBM Bebani APBN Purbaya Sebut Pertamina Malas Bangun Kilang Minyak Baru https://t.co/aDP7NdJrLB,impor bbm bebani apbn purbaya sebut pertamina malas bangun kilang minyak baru,"['impor', 'bbm', 'bebani', 'apbn', 'purbaya', 'sebut', 'pertamina', 'malas', 'bangun', 'kilang', 'minyak', 'baru']","['impor', 'bbm', 'beban', 'apbn', 'purbaya', 'sebut', 'pertamina', 'malas', 'bangun', 'kilang', 'minyak', 'baru']",negative
Tue Sep 30 22:54:42 +0000 2025,@Dennysiregar7 @pertamina @NasbiHasan Jadi kapan Pertamina akan mulai membangun Kilang.? Coba DPR melakukan rapat dg Menteti BUMN Menteri ESDM dan Pertamina mengapa kilang kilang minyak tidak dibangun apa kendalanya tagih komitmentnya. Kalau import terus pasti banyak mafia yg diuntungkan.,jadi kapan pertamina akan mulai membangun kilang coba dpr melakukan rapat dg menteti bumn menteri esdm dan pertamina mengapa kilang kilang minyak tidak dibangun apa kendalanya tagih komitmentnya kalau import terus pasti banyak mafia yg diuntungkan,"['jadi', 'kapan', 'pertamina', 'mulai', 'membangun', 'kilang', 'coba', 'dpr', 'melakukan', 'rapat', 'menteti', 'bumn', 'menteri', 'esdm', 'pertamina', 'kilang', 'kilang', 'minyak', 'dibangun', 'apa', 'kendalanya', 'tagih', 'komitmentnya', 'kalau', 'import', 'terus', 'banyak', 'mafia', 'diuntungkan']","['jadi', 'kapan', 'pertamina', 'mulai', 'bangun', 'kilang', 'coba', 'dpr', 'laku', 'rapat', 'menteti', 'bumn', 'menteri', 'esdm', 'pertamina', 'kilang', 'kilang', 'minyak', 'bangun', 'apa', 'kendala', 'tagih', 'komitmentnya', 'kalau', 'import', 'terus', 'banyak', 'mafia', 'untung']",negative
Tue Sep 30 22:50:37 +0000 2025,@DS_yantie @desmodromici1 @NasbiHasan harus membangun kilang minyak ! Secepatnya !! ,harus membangun kilang minyak secepatnya,"['membangun', 'kilang', 'minyak', 'secepatnya']","['bangun', 'kilang', 'minyak', 'cepat']",neutral
Tue Sep 30 22:05:55 +0000 2025,@regar_op0sisi Sudah dari zaman orba ga ada kilang. Pada waktu itu Indonesia negara penghasil minyak bumi. Gabung dalam OPEC. Penghasil minyak malah tidak di proses. Jual minyak mentah impor bensin solar dll alasannya adaaa saja....,sudah dari zaman orba ga ada kilang pada waktu itu indonesia negara penghasil minyak bumi gabung dalam opec penghasil minyak malah tidak di proses jual minyak mentah impor bensin solar dll alasannya adaaa saja,"['zaman', 'orba', 'kilang', 'waktu', 'indonesia', 'negara', 'penghasil', 'minyak', 'bumi', 'gabung', 'opec', 'penghasil', 'minyak', 'malah', 'proses', 'jual', 'minyak', 'mentah', 'impor', 'bensin', 'solar', 'alasannya', 'adaaa']","['zaman', 'orba', 'kilang', 'waktu', 'indonesia', 'negara', 'hasil', 'minyak', 'bumi', 'gabung', 'opec', 'hasil', 'minyak', 'malah', 'proses', 'jual', 'minyak', 'mentah', 'impor', 'bensin', 'solar', 'alas', 'adaaa']",neutral
Tue Sep 30 21:28:20 +0000 2025,@dhaintly Issu ini dr dulu udah jadi bahan debat capres tapi koq gak ada presiden yg berani bikin kilang minyak ya? Siapa sih yg diuntungkan dgn beli mintak dr Singapura?,issu ini dr dulu udah jadi bahan debat capres tapi koq gak ada presiden yg berani bikin kilang minyak ya siapa sih yg diuntungkan dgn beli mintak dr singapura,"['issu', 'dulu', 'udah', 'jadi', 'bahan', 'debat', 'capres', 'koq', 'presiden', 'berani', 'bikin', 'kilang', 'minyak', 'siapa', 'sih', 'diuntungkan', 'beli', 'mintak', 'singapura']","['issu', 'dulu', 'udah', 'jadi', 'bahan', 'debat', 'capres', 'koq', 'presiden', 'berani', 'bikin', 'kilang', 'minyak', 'siapa', 'sih', 'untung', 'beli', 'mintak', 'singapura']",positive
Tue Sep 30 19:38:11 +0000 2025,@CakKhum Da mah yaaaaa harusnya mah ga usah buru2 bangun IKN mending mikirin bangun kilang minyak di Indo. ,da mah yaaaaa harusnya mah ga usah buru bangun ikn mending mikirin bangun kilang minyak di indo,"['da', 'mah', 'iya', 'harusnya', 'mah', 'usah', 'buru', 'bangun', 'ikn', 'mending', 'memikirkan', 'bangun', 'kilang', 'minyak', 'indonesia']","['da', 'mah', 'iya', 'harus', 'mah', 'usah', 'buru', 'bangun', 'ikn', 'mending', 'pikir', 'bangun', 'kilang', 'minyak', 'indonesia']",negative
Tue Sep 30 19:37:40 +0000 2025,Seharusnya dari dulu udah bikin kilang minyak yang banyak.. negara kita sibuk mau korupsi makanya ga mikir Bagun kilang minyak itu,seharusnya dari dulu udah bikin kilang minyak yang banyak negara kita sibuk mau korupsi makanya ga mikir bagun kilang minyak itu,"['dulu', 'udah', 'bikin', 'kilang', 'minyak', 'banyak', 'negara', 'sibuk', 'mau', 'korupsi', 'tidak', 'pikir', 'bagun', 'kilang', 'minyak']","['dulu', 'udah', 'bikin', 'kilang', 'minyak', 'banyak', 'negara', 'sibuk', 'mau', 'korupsi', 'tidak', 'pikir', 'bagun', 'kilang', 'minyak']",negative
